city_name;UF;ibge_cod;GADM_GID_2;pop_2020;MHDI_tot;MHDI_long;MHDI_edu;MHDI_inc;SVI_tot;SVI_inf;SVI_hum;SVI_wrk;MHDI_quantiles;;MHDI quartiles;;SVI quartiles;
Fernando Falcão/MA;MA;2104081;BRA.10.71_1; 10.460 ;0,443;0,417;0,728;0,286;0,784;0,782;0,742;0,827; -   ;;min;0,418;min;0,09
Amapá do Maranhão/MA;MA;2100550;BRA.10.10_1; 7.005 ;0,52;0,503;0,688;0,406;0,773;0,987;0,716;0,616; 0,018 ;;25%;0,599;25%;0,246
Aveiro/PA;PA;1501006;BRA.14.14_1; 16.404 ;0,541;0,47;0,748;0,45;0,769;0,974;0,576;0,758; 0,043 ;;50%;0,665;50%;0,335
Humberto de Campos/MA;MA;2105005;BRA.10.86_1; 28.932 ;0,535;0,443;0,759;0,455;0,764;1;0,632;0,659; 0,035 ;;75%;0,718;75%;0,448
Icatu/MA;MA;2105104;BRA.10.87_1; 27.269 ;0,546;0,475;0,727;0,472;0,759;1;0,604;0,672; 0,053 ;;max;0,862;max;0,784
Santo Amaro do Maranhão/MA;MA;2110278;BRA.10.169_1; 16.034 ;0,518;0,454;0,738;0,416;0,757;0,964;0,634;0,674; 0,016 ;;;;;
Santo Antônio do Içá/AM;AM;1303700;BRA.4.49_1; 21.243 ;0,49;0,438;0,759;0,353;0,745;0,884;0,698;0,653; 0,004 ;;;;;
Prainha/PA;PA;1506005;BRA.14.98_1; 29.846 ;0,523;0,512;0,779;0,359;0,744;0,992;0,649;0,591; 0,021 ;;;;;
Jutaí/AM;AM;1302306;BRA.4.33_1; 13.886 ;0,516;0,528;0,766;0,34;0,743;0,808;0,724;0,696; 0,015 ;;;;;
Viseu/PA;PA;1508308;BRA.14.142_1; 61.751 ;0,515;0,482;0,776;0,366;0,741;0,92;0,672;0,63; 0,014 ;;;;;
Pedro do Rosário/MA;MA;2108256;BRA.10.139_1; 25.354 ;0,516;0,475;0,696;0,415;0,74;0,873;0,665;0,681; 0,015 ;;;;;
Bacuri/MA;MA;2101301;BRA.10.22_1; 18.654 ;0,578;0,54;0,737;0,484;0,733;1;0,591;0,608; 0,156 ;;;;;
Afuá/PA;PA;1500305;BRA.14.4_1; 39.567 ;0,489;0,485;0,774;0,311;0,729;0,719;0,776;0,691; 0,003 ;;;;;
Central do Maranhão/MA;MA;2103125;BRA.10.54_1; 8.740 ;0,585;0,503;0,713;0,557;0,727;1;0,555;0,626; 0,184 ;;;;;
Fonte Boa/AM;AM;1301605;BRA.4.24_1; 17.005 ;0,53;0,518;0,719;0,4;0,726;0,767;0,763;0,648; 0,029 ;;;;;
Atalaia do Norte/AM;AM;1300201;BRA.4.6_1; 20.398 ;0,45;0,481;0,733;0,259;0,723;0,644;0,82;0,704; -   ;;;;;
Paulino Neves/MA;MA;2108058;BRA.10.136_1; 16.166 ;0,561;0,481;0,72;0,511;0,72;0,9;0,566;0,693; 0,092 ;;;;;
Itaipava do Grajaú/MA;MA;2105351;BRA.10.91_1; 16.005 ;0,518;0,456;0,726;0,419;0,719;0,823;0,63;0,705; 0,016 ;;;;;
Vargem Grande/MA;MA;2112704;BRA.10.213_1; 57.168 ;0,542;0,487;0,768;0,425;0,719;0,796;0,698;0,664; 0,046 ;;;;;
São Benedito do Rio Preto/MA;MA;2110401;BRA.10.171_1; 18.717 ;0,541;0,468;0,749;0,452;0,719;0,774;0,701;0,683; 0,043 ;;;;;
Chaves/PA;PA;1502509;BRA.14.37_1; 23.948 ;0,453;0,516;0,769;0,234;0,717;0,705;0,759;0,688; -   ;;;;;
Centro Novo do Maranhão/MA;MA;2103174;BRA.10.56_1; 21.840 ;0,518;0,508;0,717;0,382;0,716;0,84;0,766;0,542; 0,016 ;;;;;
Presidente Sarney/MA;MA;2109270;BRA.10.153_1; 19.069 ;0,557;0,486;0,752;0,472;0,715;0,879;0,611;0,654; 0,080 ;;;;;
Pauini/AM;AM;1303502;BRA.4.45_1; 19.522 ;0,496;0,531;0,724;0,317;0,713;0,674;0,776;0,688; 0,004 ;;;;;
Timbiras/MA;MA;2112100;BRA.10.203_1; 29.183 ;0,537;0,498;0,73;0,427;0,712;0,714;0,776;0,645; 0,038 ;;;;;
Cajapió/MA;MA;2102408;BRA.10.44_1; 11.216 ;0,553;0,466;0,72;0,505;0,708;0,819;0,622;0,684; 0,071 ;;;;;
Tapauá/AM;AM;1304104;BRA.4.55_1; 17.015 ;0,502;0,512;0,694;0,355;0,707;0,7;0,804;0,617; 0,006 ;;;;;
Ipixuna/AM;AM;1301803;BRA.4.27_1; 30.436 ;0,481;0,476;0,772;0,302;0,706;0,708;0,768;0,643; 0,001 ;;;;;
Eirunepé/AM;AM;1301407;BRA.4.22_1; 35.700 ;0,563;0,548;0,756;0,431;0,706;0,791;0,736;0,591; 0,101 ;;;;;
Vitória do Xingu/PA;PA;1508357;BRA.14.143_1; 15.279 ;0,596;0,594;0,792;0,451;0,706;0,96;0,586;0,572; 0,235 ;;;;;
Senador Alexandre Costa/MA;MA;2111748;BRA.10.196_1; 11.214 ;0,538;0,52;0,689;0,435;0,704;0,877;0,714;0,522; 0,039 ;;;;;
Turiaçu/MA;MA;2112407;BRA.10.208_1; 35.709 ;0,561;0,493;0,776;0,461;0,703;0,948;0,604;0,556; 0,092 ;;;;;
Itamarati/AM;AM;1301951;BRA.4.30_1; 7.814 ;0,477;0,529;0,772;0,266;0,702;0,718;0,795;0,592; 0,00100 ;;;;;
Junco do Maranhão/MA;MA;2105658;BRA.10.98_1; 4.392 ;0,552;0,55;0,69;0,443;0,7;0,925;0,647;0,529; 0,068 ;;;;;
Melgaço/PA;PA;1504505;BRA.14.71_1; 27.890 ;0,418;0,454;0,776;0,207;0,699;0,547;0,809;0,74; -   ;;;;;
Novo Aripuanã/AM;AM;1303304;BRA.4.43_1; 26.046 ;0,554;0,532;0,759;0,421;0,698;0,815;0,657;0,621; 0,073 ;;;;;
Porto de Moz/PA;PA;1505908;BRA.14.97_1; 41.801 ;0,503;0,512;0,77;0,322;0,698;0,743;0,68;0,67; 0,007 ;;;;;
Cândido Mendes/MA;MA;2102606;BRA.10.47_1; 20.278 ;0,561;0,52;0,745;0,456;0,697;0,972;0,59;0,53; 0,092 ;;;;;
Satubinha/MA;MA;2111722;BRA.10.195_1; 14.096 ;0,493;0,45;0,72;0,369;0,697;0,722;0,785;0,584; 0,004 ;;;;;
Beruri/AM;AM;1300631;BRA.4.11_1; 20.093 ;0,506;0,512;0,731;0,346;0,696;0,735;0,744;0,61; 0,009 ;;;;;
Cururupu/MA;MA;2103703;BRA.10.64_1; 32.626 ;0,612;0,568;0,768;0,525;0,696;1;0,52;0,567; 0,302 ;;;;;
Coelho Neto/MA;MA;2103406;BRA.10.60_1; 49.621 ;0,564;0,544;0,728;0,454;0,696;0,835;0,668;0,586; 0,104 ;;;;;
