UF;Nome_UF;cod_mun_ibge;nome_mun;GADM_GID_2;pop_IBGE2020
11;Rondônia;1100015;Alta Floresta D'Oeste;BRA.22.1_1; 22.728 
11;Rondônia;1100379;Alto Alegre dos Parecis;BRA.22.2_1; 13.255 
11;Rondônia;1100403;Alto Paraíso;BRA.22.3_1; 21.847 
11;Rondônia;1100346;Alvorada D'Oeste;BRA.22.4_1; 14.106 
11;Rondônia;1100023;Ariquemes;BRA.22.5_1; 109.523 
11;Rondônia;1100452;Buritis;BRA.22.6_1; 40.356 
11;Rondônia;1100031;Cabixi;BRA.12.19_1; 5.188 
11;Rondônia;1100601;Cacaulândia;BRA.22.7_1; 6.269 
11;Rondônia;1100049;Cacoal;BRA.22.8_1; 85.893 
11;Rondônia;1100700;Campo Novo de Rondônia;BRA.22.9_1; 14.266 
11;Rondônia;1100809;Candeias do Jamari;BRA.22.10_1; 27.388 
11;Rondônia;1100908;Castanheiras;BRA.22.11_1; 2.987 
11;Rondônia;1100056;Cerejeiras;BRA.22.12_1; 16.204 
11;Rondônia;1100924;Chupinguaia;BRA.22.13_1; 11.472 
11;Rondônia;1100064;Colorado do Oeste;BRA.22.14_1; 15.544 
11;Rondônia;1100072;Corumbiara;BRA.22.15_1; 7.220 
11;Rondônia;1100080;Costa Marques;BRA.22.16_1; 18.798 
11;Rondônia;1100940;Cujubim;BRA.22.17_1; 26.183 
11;Rondônia;1100098;Espigão D'Oeste;BRA.22.18_1; 32.695 
11;Rondônia;1101005;Governador Jorge Teixeira;BRA.22.19_1; 7.445 
11;Rondônia;1100106;Guajará-Mirim;BRA.22.20_1; 46.556 
11;Rondônia;1101104;Itapuã do Oeste;BRA.22.21_1; 10.641 
11;Rondônia;1100114;Jaru;BRA.22.22_1; 51.620 
11;Rondônia;1100122;Ji-Paraná;BRA.22.23_1; 130.009 
11;Rondônia;1100130;Machadinho D'Oeste;BRA.22.24_1; 40.867 
11;Rondônia;1101203;Ministro Andreazza;BRA.22.25_1; 9.559 
11;Rondônia;1101302;Mirante da Serra;BRA.22.26_1; 10.818 
11;Rondônia;1101401;Monte Negro;BRA.22.27_1; 16.007 
11;Rondônia;1100148;Nova Brasilândia D'Oeste;BRA.22.28_1; 20.489 
11;Rondônia;1100338;Nova Mamoré;BRA.22.29_1; 31.392 
11;Rondônia;1101435;Nova União;BRA.22.30_1; 6.895 
11;Rondônia;1100502;Novo Horizonte do Oeste;BRA.22.31_1; 8.329 
11;Rondônia;1100155;Ouro Preto do Oeste;BRA.22.32_1; 35.737 
11;Rondônia;1101450;Parecis;BRA.22.33_1; 6.198 
11;Rondônia;1100189;Pimenta Bueno;BRA.22.34_1; 36.881 
11;Rondônia;1101468;Pimenteiras do Oeste;BRA.22.35_1; 2.148 
11;Rondônia;1100205;Porto Velho;BRA.22.36_1; 539.354 
11;Rondônia;1100254;Presidente Médici;BRA.22.37_1; 18.571 
11;Rondônia;1101476;Primavera de Rondônia;BRA.22.38_1; 2.776 
11;Rondônia;1100262;Rio Crespo;BRA.22.39_1; 3.804 
11;Rondônia;1100288;Rolim de Moura;BRA.22.40_1; 55.407 
11;Rondônia;1100296;Santa Luzia D'Oeste;BRA.22.41_1; 6.216 
11;Rondônia;1101484;São Felipe D'Oeste;BRA.22.42_1; 5.066 
11;Rondônia;1101492;São Francisco do Guaporé;BRA.22.43_1; 20.681 
11;Rondônia;1100320;São Miguel do Guaporé;BRA.22.44_1; 23.077 
11;Rondônia;1101500;Seringueiras;BRA.22.45_1; 11.851 
11;Rondônia;1101559;Teixeirópolis;BRA.22.46_1; 4.233 
11;Rondônia;1101609;Theobroma;BRA.22.47_1; 10.395 
11;Rondônia;1101708;Urupá;BRA.22.48_1; 11.272 
11;Rondônia;1101757;Vale do Anari;BRA.22.49_1; 11.377 
11;Rondônia;1101807;Vale do Paraíso;BRA.22.50_1; 6.656 
11;Rondônia;1100304;Vilhena;BRA.22.51_1; 102.211 
12;Acre;1200013;Acrelândia;BRA.1.1_1; 15.490 
12;Acre;1200054;Assis Brasil;BRA.1.2_1; 7.534 
12;Acre;1200104;Brasiléia;BRA.1.3_1; 26.702 
12;Acre;1200138;Bujari;BRA.1.4_1; 10.420 
12;Acre;1200179;Capixaba;BRA.1.5_1; 12.008 
12;Acre;1200203;Cruzeiro do Sul;BRA.1.6_1; 89.072 
12;Acre;1200252;Epitaciolândia;BRA.1.7_1; 18.696 
12;Acre;1200302;Feijó;BRA.1.8_1; 34.884 
12;Acre;1200328;Jordão;BRA.1.9_1; 8.473 
12;Acre;1200336;Mâncio Lima;BRA.1.10_1; 19.311 
12;Acre;1200344;Manoel Urbano;BRA.1.11_1; 9.581 
12;Acre;1200351;Marechal Thaumaturgo;BRA.1.12_1; 19.299 
12;Acre;1200385;Plácido de Castro;BRA.1.13_1; 19.955 
12;Acre;1200807;Porto Acre;BRA.1.14_1; 18.824 
12;Acre;1200393;Porto Walter;BRA.1.15_1; 12.241 
12;Acre;1200401;Rio Branco;BRA.1.16_1; 413.418 
12;Acre;1200427;Rodrigues Alves;BRA.1.17_1; 19.351 
12;Acre;1200435;Santa Rosa do Purus;BRA.1.18_1; 6.717 
12;Acre;1200500;Sena Madureira;BRA.1.19_1; 46.511 
12;Acre;1200450;Senador Guiomard;BRA.1.20_1; 23.236 
12;Acre;1200609;Tarauacá;BRA.1.21_1; 43.151 
12;Acre;1200708;Xapuri;BRA.1.22_1; 19.596 
13;Amazonas;1300029;Alvarães;BRA.4.1_1; 16.220 
13;Amazonas;1300060;Amaturá;BRA.4.2_1; 11.736 
13;Amazonas;1300086;Anamã;BRA.4.3_1; 13.956 
13;Amazonas;1300102;Anori;BRA.4.4_1; 21.477 
13;Amazonas;1300144;Apuí;BRA.4.5_1; 22.359 
13;Amazonas;1300201;Atalaia do Norte;BRA.4.6_1; 20.398 
13;Amazonas;1300300;Autazes;BRA.4.7_1; 40.290 
13;Amazonas;1300409;Barcelos;BRA.4.8_1; 27.638 
13;Amazonas;1300508;Barreirinha;BRA.4.9_1; 32.483 
13;Amazonas;1300607;Benjamin Constant;BRA.4.10_1; 43.935 
13;Amazonas;1300631;Beruri;BRA.4.11_1; 20.093 
13;Amazonas;1300680;Boa Vista do Ramos;BRA.4.12_1; 19.626 
13;Amazonas;1300706;Boca do Acre;BRA.4.13_1; 34.635 
13;Amazonas;1300805;Borba;BRA.4.14_1; 41.748 
13;Amazonas;1300839;Caapiranga;BRA.4.15_1; 13.283 
13;Amazonas;1300904;Canutama;BRA.4.16_1; 15.807 
13;Amazonas;1301001;Carauari;BRA.4.17_1; 28.508 
13;Amazonas;1301100;Careiro;BRA.4.19_1; 38.348 
13;Amazonas;1301159;Careiro da Várzea;BRA.4.18_1; 30.846 
13;Amazonas;1301209;Coari;BRA.4.20_1; 85.910 
13;Amazonas;1301308;Codajás;BRA.4.21_1; 29.168 
13;Amazonas;1301407;Eirunepé;BRA.4.22_1; 35.700 
13;Amazonas;1301506;Envira;BRA.4.23_1; 20.393 
13;Amazonas;1301605;Fonte Boa;BRA.4.24_1; 17.005 
13;Amazonas;1301654;Guajará;BRA.4.25_1; 16.937 
13;Amazonas;1301704;Humaitá;BRA.4.26_1; 56.144 
13;Amazonas;1301803;Ipixuna;BRA.4.27_1; 30.436 
13;Amazonas;1301852;Iranduba;BRA.4.28_1; 49.011 
13;Amazonas;1301902;Itacoatiara;BRA.4.29_1; 102.701 
13;Amazonas;1301951;Itamarati;BRA.4.30_1; 7.814 
13;Amazonas;1302603;Manaus;BRA.4.39_1; 2.219.580 
13;Amazonas;1302108;Japurá;BRA.4.31_1; 2.251 
13;Amazonas;1302207;Juruá;BRA.4.32_1; 15.106 
13;Amazonas;1302306;Jutaí;BRA.4.33_1; 13.886 
13;Amazonas;1302405;Lábrea;BRA.4.34_1; 46.882 
13;Amazonas;1302504;Manacapuru;BRA.4.35_1; 98.502 
13;Amazonas;1302553;Manaquiri;BRA.4.36_1; 33.049 
33;Rio de Janeiro;3302858;Mesquita;#N/A; 176.569 
13;Amazonas;1302702;Manicoré;BRA.4.37_1; 56.583 
13;Amazonas;1302801;Maraã;BRA.4.38_1; 18.261 
13;Amazonas;1302900;Maués;#N/A; 65.040 
13;Amazonas;1303007;Nhamundá;BRA.4.40_1; 21.443 
13;Amazonas;1303106;Nova Olinda do Norte;BRA.4.41_1; 38.026 
13;Amazonas;1303205;Novo Airão;BRA.4.42_1; 19.928 
13;Amazonas;1303304;Novo Aripuanã;BRA.4.43_1; 26.046 
13;Amazonas;1303403;Parintins;BRA.4.44_1; 115.363 
13;Amazonas;1303502;Pauini;BRA.4.45_1; 19.522 
13;Amazonas;1303536;Presidente Figueiredo;BRA.4.46_1; 37.193 
13;Amazonas;1303569;Rio Preto da Eva;BRA.4.47_1; 34.106 
13;Amazonas;1303601;Santa Isabel do Rio Negro;BRA.4.48_1; 25.865 
13;Amazonas;1303700;Santo Antônio do Içá;BRA.4.49_1; 21.243 
13;Amazonas;1303809;São Gabriel da Cachoeira;BRA.4.50_1; 46.303 
13;Amazonas;1303908;São Paulo de Olivença;BRA.4.51_1; 40.073 
13;Amazonas;1303957;São Sebastião do Uatumã;BRA.4.52_1; 14.352 
13;Amazonas;1304005;Silves;BRA.4.53_1; 9.230 
13;Amazonas;1304062;Tabatinga;BRA.4.54_1; 67.182 
13;Amazonas;1304104;Tapauá;BRA.4.55_1; 17.015 
13;Amazonas;1304203;Tefé;BRA.4.56_1; 59.547 
13;Amazonas;1304237;Tonantins;BRA.4.57_1; 18.897 
13;Amazonas;1304260;Uarini;BRA.4.58_1; 13.690 
13;Amazonas;1304302;Urucará;BRA.4.59_1; 16.130 
13;Amazonas;1304401;Urucurituba;BRA.4.60_1; 23.585 
14;Roraima;1400050;Alto Alegre;BRA.23.1_1; 15.380 
14;Roraima;1400027;Amajari;BRA.23.2_1; 13.185 
14;Roraima;1400100;Boa Vista;BRA.23.3_1; 419.652 
14;Roraima;1400159;Bonfim;BRA.23.4_1; 12.557 
14;Roraima;1400175;Cantá;BRA.23.5_1; 18.799 
14;Roraima;1400209;Caracaraí;BRA.23.6_1; 22.283 
14;Roraima;1400233;Caroebe;BRA.23.7_1; 10.383 
